====== Exif Identifiers ======

^Exif Identifier^Type^Description^
 | exif_opto_-_electric_conv_factor | TEXT | exif tag Opto - Electric Conv Factor |
 | exif_orientation | TEXT | exif tag Orientation |
 | exif_original_raw_file_data | TEXT | exif tag Original Raw File Data |
 | exif_original_raw_file_name | TEXT | exif tag Original Raw File Name |
 | exif_other_image_length | TEXT | exif tag Other Image Length |
 | exif_other_image_start | TEXT | exif tag Other Image Start |
 | exif_owner_name | TEXT | exif tag Owner Name |
 | exif_page_name | TEXT | exif tag Page Name |
 | exif_page_number | TEXT | exif tag Page Number |
 | exif_photometric_interpretation | TEXT | exif tag Photometric Interpretation |
 | exif_photoshop_settings | TEXT | exif tag Photoshop Settings |
 | exif_pixel_format | TEXT | exif tag Pixel Format |
 | exif_pixel_intensity_range | TEXT | exif tag Pixel Intensity Range |
 | exif_pixel_scale | TEXT | exif tag Pixel Scale |
 | exif_planar_configuration | TEXT | exif tag Planar Configuration |
 | exif_predictor | TEXT | exif tag Predictor |
 | exif_preview_image_length | TEXT | exif tag Preview Image Length |
 | exif_preview_image_start | TEXT | exif tag Preview Image Start |
 | exif_primary_chromaticities | TEXT | exif tag Primary Chromaticities |
 | exif_print_im | TEXT | exif tag Print IM |
 | exif_processing_software | TEXT | exif tag Processing Software |
 | exif_profile_type | TEXT | exif tag Profile Type |
 | exif_raster_padding | TEXT | exif tag Raster Padding |
 | exif_rating | TEXT | exif tag Rating |
 | exif_rating_percent | TEXT | exif tag Rating Percent |
 | exif_raw_data_unique_id | TEXT | exif tag Raw Data Unique ID |
 | exif_raw_file | TEXT | exif tag Raw File |
 | exif_reduction_matrix_1 | TEXT | exif tag Reduction Matrix 1 |
 | exif_reduction_matrix_2 | TEXT | exif tag Reduction Matrix 2 |
 | exif_reference_black_white | TEXT | exif tag Reference Black White |
 | exif_related_image_file_format | TEXT | exif tag Related Image File Format |
 | exif_related_image_length | TEXT | exif tag Related Image Length |
 | exif_related_image_width | TEXT | exif tag Related Image Width |
 | exif_related_sound_file | TEXT | exif tag Related Sound File |
 | exif_resolution_unit | TEXT | exif tag Resolution Unit |
 | exif_rows_per_strip | TEXT | exif tag Rows Per Strip |
 | exif_sample_format | TEXT | exif tag Sample Format |
 | exif_samples_per_pixel | TEXT | exif tag Samples Per Pixel |
 | exif_saturation | TEXT | exif tag Saturation |
 | exif_scene_capture_type | TEXT | exif tag Scene Capture Type |
 | exif_scene_type | TEXT | exif tag Scene Type |
 | exif_security_classification | TEXT | exif tag Security Classification |
 | exif_self_timer_mode | TEXT | exif tag Self Timer Mode |
 | exif_seminfo | TEXT | exif tag SEMInfo |
 | exif_sensing_method | TEXT | exif tag Sensing Method |
 | exif_serial_number | TEXT | exif tag Serial Number |
 | exif_shadow_scale | TEXT | exif tag Shadow Scale |
 | exif_shadows | TEXT | exif tag Shadows |
 | exif_sharpness | TEXT | exif tag Sharpness |
 | exif_shutter_speed_value | TEXT | exif tag Shutter Speed Value |
 | exif_site | TEXT | exif tag Site |
 | exif_smax_sample_value | TEXT | exif tag SMax Sample Value |
 | exif_smin_sample_value | TEXT | exif tag SMin Sample Value |
 | exif_smoothness | TEXT | exif tag Smoothness |
 | exif_software | TEXT | exif tag Software |
 | exif_spatial_frequency_response | TEXT | exif tag Spatial Frequency Response |
 | exif_spectral_sensitivity | TEXT | exif tag Spectral Sensitivity |
 | exif_sto_nits | TEXT | exif tag Sto Nits |
 | exif_strip_row_counts | TEXT | exif tag Strip Row Counts |
 | exif_sub_ifd | TEXT | exif tag Sub IFD |
 | exif_sub_sec_time | TEXT | exif tag Sub Sec Time |
 | exif_sub_sec_time_digitized | TEXT | exif tag Sub Sec Time Digitized |
 | exif_sub_sec_time_original | TEXT | exif tag Sub Sec Time Original |
 | exif_subfile_type | TEXT | exif tag Subfile Type |
 | exif_subject_distance | TEXT | exif tag Subject Distance |
 | exif_subject_distance_range | TEXT | exif tag Subject Distance Range |
 | exif_subject_location | TEXT | exif tag Subject Location |
 | exif_t4_options | TEXT | exif tag T4 Options |
 | exif_t6_options | TEXT | exif tag T6 Options |
 | exif_target_printer | TEXT | exif tag Target Printer |
 | exif_thresholding | TEXT | exif tag Thresholding |
 | exif_tiff-_epstandard_id | TEXT | exif tag TIFF- EPStandard ID |
 | exif_tile_byte_counts | TEXT | exif tag Tile Byte Counts |
 | exif_tile_depth | TEXT | exif tag Tile Depth |
 | exif_tile_length | TEXT | exif tag Tile Length |
 | exif_tile_offsets | TEXT | exif tag Tile Offsets |
 | exif_tile_width | TEXT | exif tag Tile Width |
 | exif_time_zone_offset | TEXT | exif tag Time Zone Offset |
 | exif_transfer_function | TEXT | exif tag Transfer Function |
 | exif_transfer_range | TEXT | exif tag Transfer Range |
 | exif_transfomation | TEXT | exif tag Transfomation |
 | exif_transparency_indicator | TEXT | exif tag Transparency Indicator |
 | exif_uncompressed | TEXT | exif tag Uncompressed |
 | exif_unique_camera_model | TEXT | exif tag Unique Camera Model |
 | exif_usercomment | TEXT | exif tag UserComment |
 | exif_version_year | TEXT | exif tag Version Year |
 | exif_wang_annotation | TEXT | exif tag Wang Annotation |
 | exif_white_balance | TEXT | exif tag White Balance |
 | exif_white_level | TEXT | exif tag White Level |
 | exif_white_point | TEXT | exif tag White Point |
 | exif_width_resolution | TEXT | exif tag Width Resolution |
 | exif_xclip_path_units | TEXT | exif tag XClip Path Units |
 | exif_xpauthor | TEXT | exif tag XPAuthor |
 | exif_xpcomment | TEXT | exif tag XPComment |
 | exif_xpkeywords | TEXT | exif tag XPKeywords |
 | exif_xposition | TEXT | exif tag XPosition |
 | exif_xpsubject | TEXT | exif tag XPSubject |
 | exif_xptitle | TEXT | exif tag XPTitle |
 | exif_xresolution | TEXT | exif tag XResolution |
 | exif_ycbcr_coefficients | TEXT | exif tag YCbCr Coefficients |
 | exif_ycbcr_positioning | TEXT | exif tag YCbCr Positioning |
 | exif_ycbcr_sub_sampling | TEXT | exif tag YCbCr Sub Sampling |
 | exif_yclip_path_units | TEXT | exif tag YClip Path Units |
 | exif_yposition | TEXT | exif tag YPosition |
 | exif_yresolution | TEXT | exif tag YResolution |
